country,hour,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
EE,0,LEAR_8w,LEAR 8w,18.033345395877365,25.068269214049998,-5.502953553891052,73.84010917015084
EE,1,LEAR_8w,LEAR 8w,32.11289935959434,42.63272170327875,-3.16428839590192,112.42017850351115
EE,2,LEAR_8w,LEAR 8w,29.93835414433696,36.41402628839814,-6.391319452249791,79.97086061019512
EE,3,LEAR_8w,LEAR 8w,32.201365710980426,39.287107030255044,-3.2765267579274266,93.38801935372891
EE,4,LEAR_8w,LEAR 8w,27.448187723162906,36.05328787037572,-5.426780997029817,90.23358263393158
EE,5,LEAR_8w,LEAR 8w,27.01284552988354,32.13769805867458,-1.052013568932707,70.60449498217918
EE,6,LEAR_8w,LEAR 8w,47.866653398096936,58.45514742987904,-3.910752726089593,112.74183233040469
EE,7,LEAR_8w,LEAR 8w,106.52142658038895,154.5065185700967,41.681356496685936,455.7525929489648
EE,8,LEAR_8w,LEAR 8w,114.15089879450386,189.81701017529775,48.104323481669475,625.252901538577
EE,9,LEAR_8w,LEAR 8w,100.05358194551027,124.52247422218124,-9.10898900083499,316.8534716666763
EE,10,LEAR_8w,LEAR 8w,69.93990490921854,99.85678827787748,-9.29364543316378,263.9138500930103
EE,11,LEAR_8w,LEAR 8w,38.00085938987487,49.515620777350534,-4.047451715214316,127.73598941194571
EE,12,LEAR_8w,LEAR 8w,55.34524720174191,71.91986093048368,12.004907476991095,152.6817704840035
EE,13,LEAR_8w,LEAR 8w,49.2931003096201,68.2183579873345,3.87451458908373,215.33920033446222
EE,14,LEAR_8w,LEAR 8w,45.230672017356255,71.11399218063488,4.254246897067,269.2127780879684
EE,15,LEAR_8w,LEAR 8w,75.87531553386776,99.3591135673754,-10.215761878342155,267.03604986902604
EE,16,LEAR_8w,LEAR 8w,60.563260388767766,77.71009903448191,-8.717379804716076,215.61715973052765
EE,17,LEAR_8w,LEAR 8w,91.45649790624854,116.039491754097,-7.823438128513428,269.02088934018104
EE,18,LEAR_8w,LEAR 8w,96.79679605433792,119.71508819635154,-1.001956686091764,261.43903303813397
EE,19,LEAR_8w,LEAR 8w,100.33732172791909,140.18900331134452,10.85211348172526,461.09436538990326
EE,20,LEAR_8w,LEAR 8w,86.47072826381955,113.40607119667533,29.63331753354467,294.2824776034438
EE,21,LEAR_8w,LEAR 8w,91.19927451292571,110.45326664057438,35.77760099484292,210.86492372430854
EE,22,LEAR_8w,LEAR 8w,87.02999629259008,112.84847625963683,27.015375865510684,333.7420945745248
EE,23,LEAR_8w,LEAR 8w,93.04673897598684,111.59170961203027,25.776842505065826,282.8400498949114
EE,0,LEAR_12w,LEAR 12w,21.190961130116662,26.430503107820297,-1.6242891341138477,65.909398927919
EE,1,LEAR_12w,LEAR 12w,30.478365329074002,37.256420481994006,6.041620779686287,79.23867128237555
EE,2,LEAR_12w,LEAR 12w,30.35007002415375,39.97153828876954,0.04563791449012606,84.93682180370783
EE,3,LEAR_12w,LEAR 12w,36.94028999369655,45.1631505825427,9.852523503225516,79.10421790756607
EE,4,LEAR_12w,LEAR 12w,35.82962345605918,43.13001570609119,-0.21471537406578398,85.79844324523442
EE,5,LEAR_12w,LEAR 12w,35.68676352403385,42.695413425348235,-2.217124093162043,78.17968922250984
EE,6,LEAR_12w,LEAR 12w,53.990081841115995,66.46725681461672,6.145607552110427,162.34619911776625
EE,7,LEAR_12w,LEAR 12w,95.28376270427185,147.62031355784777,36.4613750774918,441.03355947197593
EE,8,LEAR_12w,LEAR 12w,107.6426648363424,181.25885448082414,47.80867977162303,603.0770826974305
EE,9,LEAR_12w,LEAR 12w,82.68918556012218,110.39484946949436,12.807879905204356,299.05462419153173
EE,10,LEAR_12w,LEAR 12w,65.69073649078908,89.81677908718447,-15.705816161917618,288.59849361200133
EE,11,LEAR_12w,LEAR 12w,58.39841776342287,81.7393259714018,-17.694151742094224,241.6392742296017
EE,12,LEAR_12w,LEAR 12w,62.90003046156676,83.00259762027702,-3.753203917619739,238.19762038622963
EE,13,LEAR_12w,LEAR 12w,47.86934528132965,69.59288743578843,-3.019093182188609,231.69918120880737
EE,14,LEAR_12w,LEAR 12w,52.93504201772682,69.93038331176633,-0.03586178215776839,209.48189681878577
EE,15,LEAR_12w,LEAR 12w,78.36832795916996,98.66675077668245,-5.914837370927457,300.3648095093771
EE,16,LEAR_12w,LEAR 12w,54.81611166102584,73.1500276415639,8.292246939101103,215.97505181722482
EE,17,LEAR_12w,LEAR 12w,98.06324094130089,123.20965378807269,17.224704920948312,311.1090286562716
EE,18,LEAR_12w,LEAR 12w,87.66356268686808,108.52704761340749,20.689976657818992,261.1300588164704
EE,19,LEAR_12w,LEAR 12w,95.31058673270432,120.53875965857246,9.336098345803844,342.26710372997843
EE,20,LEAR_12w,LEAR 12w,106.93708512117291,138.9377277945747,19.838591003321305,333.76999779351365
EE,21,LEAR_12w,LEAR 12w,74.98707323249138,88.80689011586183,24.856399180608346,162.80863163365316
EE,22,LEAR_12w,LEAR 12w,68.10587333206682,85.39749961639203,21.12814750449098,182.82663641585555
EE,23,LEAR_12w,LEAR 12w,50.08864467271972,67.72856468403064,1.4912537854598862,142.9340838480758
EE,0,LEAR_ensemble,Short-window ensemble,19.100535456467245,25.160251472946356,-3.5636213440024496,69.87475404903492
EE,1,LEAR_ensemble,Short-window ensemble,30.482085969041524,37.903222854266936,1.4386661918921846,87.80432203901623
EE,2,LEAR_ensemble,Short-window ensemble,29.94032736658737,36.536570176499225,-3.1728407688798335,71.62750263563962
EE,3,LEAR_ensemble,Short-window ensemble,33.305623522512214,40.45180564492353,3.287998372649045,72.04743074065144
EE,4,LEAR_ensemble,Short-window ensemble,30.57992922089721,37.10409059406737,-2.8207481855477994,73.88024165241785
EE,5,LEAR_ensemble,Short-window ensemble,30.204502061212533,35.29409931353252,-1.6345688310473754,73.92686306198098
EE,6,LEAR_ensemble,Short-window ensemble,49.14425137613824,59.93889424806165,1.1174274130104105,137.54401572408545
EE,7,LEAR_ensemble,Short-window ensemble,95.14456935178517,146.90644982994866,39.07136578708888,448.3930762104703
EE,8,LEAR_ensemble,Short-window ensemble,107.1476442605989,182.65167107051317,47.956501626646244,614.1649921180037
EE,9,LEAR_ensemble,Short-window ensemble,91.1541751403083,113.51781751642781,1.8494454521846833,307.95404792910404
EE,10,LEAR_ensemble,Short-window ensemble,66.66199269845376,91.37989791145529,-12.4997307975407,276.2561718525058
EE,11,LEAR_ensemble,Short-window ensemble,41.73521215053027,58.62934409863987,-10.87080172865427,184.68763182077373
EE,12,LEAR_ensemble,Short-window ensemble,53.81250450065061,72.35901720512418,4.1258517796856795,195.43969543511656
EE,13,LEAR_ensemble,Short-window ensemble,44.739755983193064,64.91363401898644,0.4277107034475598,223.5191907716348
EE,14,LEAR_ensemble,Short-window ensemble,43.64069574620777,65.0013255703777,2.109192557454613,239.34733745337707
EE,15,LEAR_ensemble,Short-window ensemble,72.64789627178664,93.18567528319728,-8.065299624634807,283.7004296892016
EE,16,LEAR_ensemble,Short-window ensemble,52.694632110830774,70.8739972205593,-0.2125664328074868,215.7961057738762
EE,17,LEAR_ensemble,Short-window ensemble,87.18481982421852,105.77980142181018,4.70063339621745,214.880822389096
EE,18,LEAR_ensemble,Short-window ensemble,85.27555002478516,107.51984589712889,9.844009985863607,261.2845459273022
EE,19,LEAR_ensemble,Short-window ensemble,93.01330416718181,125.44729621504524,10.094105913764547,401.68073455994084
EE,20,LEAR_ensemble,Short-window ensemble,93.69277843874713,123.63207381060367,24.73595426843299,314.0262376984787
EE,21,LEAR_ensemble,Short-window ensemble,81.76588800824518,97.35649781818833,30.31700008772564,186.83677767898087
EE,22,LEAR_ensemble,Short-window ensemble,74.03506908625529,94.82667581059825,24.07176168500083,258.2843654951902
EE,23,LEAR_ensemble,Short-window ensemble,68.84350669904222,84.1544230199444,13.634048145262856,195.29349389927216
