country,hour,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
LV,0,LEAR_8w,LEAR 8w,21.36113675837945,27.35611344178105,3.1236212065751787,59.416536329811294
LV,1,LEAR_8w,LEAR 8w,30.651967144823196,41.252762928883605,-8.545416973997341,103.17574742457732
LV,2,LEAR_8w,LEAR 8w,29.091741268980165,33.70812143893888,-4.202389626664822,60.627946958314325
LV,3,LEAR_8w,LEAR 8w,25.294512763217956,32.6294180229899,0.6440316656034497,84.90112004285653
LV,4,LEAR_8w,LEAR 8w,29.236922423182218,34.089314486966224,-2.031018082661781,77.03714631380208
LV,5,LEAR_8w,LEAR 8w,34.39872857664899,40.80376450093982,-11.921429314527494,77.58640053747595
LV,6,LEAR_8w,LEAR 8w,51.81429846141741,67.61560261789755,-16.318260081681068,154.96980393498842
LV,7,LEAR_8w,LEAR 8w,76.67467464833224,145.39474864946854,24.137465601104957,477.7950957601311
LV,8,LEAR_8w,LEAR 8w,131.6120804809284,238.49618504971846,62.904513556606986,813.5824737106497
LV,9,LEAR_8w,LEAR 8w,61.69668163082146,101.7862325558311,16.40789869762616,363.7504925143751
LV,10,LEAR_8w,LEAR 8w,42.79017391766374,53.71409064863186,3.540404993342767,148.01257259237693
LV,11,LEAR_8w,LEAR 8w,42.89587347209238,60.39650614013084,5.174613358150609,194.84708613250763
LV,12,LEAR_8w,LEAR 8w,39.706462462124875,53.72995875706767,16.617223973298337,167.8038985713688
LV,13,LEAR_8w,LEAR 8w,52.03228099577481,69.01016735353258,18.885234615804613,221.21887349087538
LV,14,LEAR_8w,LEAR 8w,57.84553846086161,110.79962858609697,30.44660078912064,467.4488848461775
LV,15,LEAR_8w,LEAR 8w,63.79427424367391,115.32302376445347,19.85376607644487,462.80418814241807
LV,16,LEAR_8w,LEAR 8w,45.84555740722861,60.784399408266836,6.62168403621933,164.34100934883358
LV,17,LEAR_8w,LEAR 8w,54.11076084030599,77.44122002030727,20.10522221437345,209.18346565810242
LV,18,LEAR_8w,LEAR 8w,73.96047030858647,114.97519537614359,33.279163569178976,350.2710773674196
