country,date,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
LT,2025-09-30,LEAR_8w,LEAR 8w,43.74155266273109,52.20348423769288,30.957922117594524,99.96171657482611
LT,2025-09-30,LEAR_12w,LEAR 12w,23.886463716506473,30.29632583540573,14.329433063282176,72.11231778227446
LT,2025-09-30,LEAR_ensemble,Short-window ensemble,32.763697798216185,39.70562042869872,22.643677590438358,86.03701717855029
LT,2025-10-01,LEAR_8w,LEAR 8w,32.6524632984044,42.58642123396816,27.923928345556874,129.21867048930594
LT,2025-10-01,LEAR_12w,LEAR 12w,38.462348989350986,48.73114945488636,35.01271275019594,151.9993597182717
LT,2025-10-01,LEAR_ensemble,Short-window ensemble,35.434928676507525,45.369539582637046,31.468320547876402,140.6090151037888
LT,2025-10-02,LEAR_8w,LEAR 8w,35.90388506414343,60.588119435403954,-14.11506364065344,190.22841264472063
LT,2025-10-02,LEAR_12w,LEAR 12w,30.34283608049012,39.578055388497994,12.145755640222276,126.43701432188325
LT,2025-10-02,LEAR_ensemble,Short-window ensemble,32.94674625105127,46.47348208135356,-0.9846540002155851,158.332713483302
LT,2025-10-03,LEAR_8w,LEAR 8w,39.56402732322209,63.22431200101906,21.029246549580083,229.96614261545756
LT,2025-10-03,LEAR_12w,LEAR 12w,44.092292125037254,68.49589441214214,12.943542162814,257.473719081989
LT,2025-10-03,LEAR_ensemble,Short-window ensemble,41.21329382958606,65.09678944352173,16.986394356197042,243.71993084872324
LT,2025-10-04,LEAR_8w,LEAR 8w,71.45219177961523,84.72659888100749,-71.45219177961523,193.98886207025342
LT,2025-10-04,LEAR_12w,LEAR 12w,46.02473044681269,59.504859765019695,-26.546005398681938,141.04424362344216
LT,2025-10-04,LEAR_ensemble,Short-window ensemble,49.78087654828939,67.3501994806678,-48.99909858914859,152.21146871828694
LT,2025-10-05,LEAR_8w,LEAR 8w,36.96879875682129,46.640346491152826,-7.136983153698387,109.52451589481184
LT,2025-10-05,LEAR_12w,LEAR 12w,35.866081484334764,51.74522654223418,10.986013295013734,160.61052855907585
LT,2025-10-05,LEAR_ensemble,Short-window ensemble,34.91621685420075,45.015402724198644,1.9245150706576737,135.06752222694385
LT,2025-10-06,LEAR_8w,LEAR 8w,72.09979629453557,89.05203192231154,58.10583636095799,208.61697612711578
LT,2025-10-06,LEAR_12w,LEAR 12w,59.733813780504725,76.14751423797333,38.65282696401122,164.02822636989467
LT,2025-10-06,LEAR_ensemble,Short-window ensemble,64.54842964998781,81.10234955291921,48.37933166248461,186.32260124850524
LT,2025-10-07,LEAR_8w,LEAR 8w,172.39024970757825,272.8963255534035,164.484965252825,808.7492777459508
LT,2025-10-07,LEAR_12w,LEAR 12w,174.22199877890594,273.16306967304394,173.6923445282567,759.8281363296635
LT,2025-10-07,LEAR_ensemble,Short-window ensemble,172.52091619414009,272.4896548252488,169.08865489054085,784.2887070378072
LT,2025-10-08,LEAR_8w,LEAR 8w,62.38494908934152,81.54896235256871,-56.87961171665722,275.19914826845115
LT,2025-10-08,LEAR_12w,LEAR 12w,51.82552375421155,64.38279483685776,-44.78682950330286,162.81106376244153
LT,2025-10-08,LEAR_ensemble,Short-window ensemble,55.569843210455,71.01137550827158,-50.83322060998005,219.0051060154464
LT,2025-10-09,LEAR_8w,LEAR 8w,82.70304527598377,113.98106628237689,65.74781000939899,320.8910320042516
LT,2025-10-09,LEAR_12w,LEAR 12w,68.9567889257983,80.17037986347249,33.25320138110655,150.60370068857623
LT,2025-10-09,LEAR_ensemble,Short-window ensemble,75.49786050511852,94.66202665021383,49.50050569525276,222.09822893339373
LT,2025-10-10,LEAR_8w,LEAR 8w,32.39363845069817,44.44255753682089,27.458342668231044,141.61075449829372
LT,2025-10-10,LEAR_12w,LEAR 12w,61.32095451237086,71.15970970311199,54.78232304224641,172.37131357409763
LT,2025-10-10,LEAR_ensemble,Short-window ensemble,45.134620697095365,55.92876402761194,41.12033285523872,156.99103403619569
LT,2025-10-11,LEAR_8w,LEAR 8w,32.51193349129885,41.97576352075686,-12.27384353120677,95.51562498896816
LT,2025-10-11,LEAR_12w,LEAR 12w,31.331738982370297,40.64804616544761,-15.911577521814001,96.44569286599379
LT,2025-10-11,LEAR_ensemble,Short-window ensemble,28.780979042314353,39.89447110801956,-14.092710526510386,95.98065892748097
LT,2025-10-12,LEAR_8w,LEAR 8w,45.970917265134496,67.98009202234196,-2.18244574031986,242.27025149102528
LT,2025-10-12,LEAR_12w,LEAR 12w,62.11805914828585,92.38242920047968,30.400518413455814,267.3532718006507
LT,2025-10-12,LEAR_ensemble,Short-window ensemble,48.953552011804966,70.93798964036706,14.109036336567975,254.81176164583798
LT,2025-10-13,LEAR_8w,LEAR 8w,27.257238247586383,33.628652914485734,7.103400340483527,66.38054274891579
LT,2025-10-13,LEAR_12w,LEAR 12w,31.06180370798117,36.919873391490405,22.289517942781742,60.80282339507967
LT,2025-10-13,LEAR_ensemble,Short-window ensemble,26.253058958753343,31.73997903544624,14.696459141632635,58.254293098331146
LT,2025-10-14,LEAR_8w,LEAR 8w,47.864910951673494,61.18757242815008,-3.5036198348441943,138.6076239050261
LT,2025-10-14,LEAR_12w,LEAR 12w,60.32202292103465,91.65433765737819,-24.682011280578944,306.6794623691877
LT,2025-10-14,LEAR_ensemble,Short-window ensemble,41.5032046904006,58.591926619737116,-14.092815557711567,128.76556547963358
LT,2025-10-15,LEAR_8w,LEAR 8w,39.32997949430593,49.49701468400022,8.923754915965766,149.45932214531643
LT,2025-10-15,LEAR_12w,LEAR 12w,34.85553185754665,47.18005479429463,16.128242538568454,135.86400274606746
LT,2025-10-15,LEAR_ensemble,Short-window ensemble,36.34186564193055,47.20886148818165,12.525998727267108,142.66166244569195
LT,2025-10-16,LEAR_8w,LEAR 8w,18.052494427266463,22.65176893895378,7.435928774399593,42.74865781970643
LT,2025-10-16,LEAR_12w,LEAR 12w,23.29402216480913,29.296363136686153,17.024151723706357,60.68534588469885
LT,2025-10-16,LEAR_ensemble,Short-window ensemble,19.401723036329248,24.993207569644397,12.230040249052974,51.654466015685756
LT,2025-10-17,LEAR_8w,LEAR 8w,61.24200129217255,78.63635266448793,-53.20685991982831,153.4162282186004
LT,2025-10-17,LEAR_12w,LEAR 12w,34.11377881536091,51.41739739238838,-27.72888519723175,149.0054038019312
LT,2025-10-17,LEAR_ensemble,Short-window ensemble,46.43506116943809,59.44209435989256,-40.467872558530026,111.69422817447328
