country,country_name,start_date,end_date,rolling_mean_daily_std,mean_price,median_price,min_price,max_price,price_std_all_hours
EE,Estonia,2025-03-26,2025-04-15,73.19739486902267,82.32326388888889,58.035,-8.09,773.0,98.66889685142195
LV,Latvia,2025-09-30,2025-10-20,75.50968610017176,117.7777876984127,94.50375,-0.0225,1000.095,115.62031968644266
LT,Lithuania,2025-09-30,2025-10-20,75.50968610017176,117.7777876984127,94.50375,-0.0225,1000.095,115.62031968644266
