country,country_name,period_start,period_end,model,model_label,days,observations,MAE,RMSE,rMAE,naive_MAE,mean_error_bias,median_absolute_error,max_absolute_error,p90_absolute_error,p95_absolute_error
EE,Estonia,2025-03-26,2025-04-15,LEAR_8w,LEAR 8w,21,504,65.66355300277544,97.3373770468953,0.9131087566800957,71.91208333333334,6.668389217636991,45.04535760935397,625.252901538577,138.14644045779661,203.34754397483687
EE,Estonia,2025-03-26,2025-04-15,LEAR_12w,LEAR 12w,21,504,63.84232694805589,93.02205277565048,0.8877830260059107,71.91208333333334,7.993402086797385,47.68820317262827,603.0770826974305,135.371913442917,170.34647333470997
EE,Estonia,2025-03-26,2025-04-15,LEAR_ensemble,Short-window ensemble,21,504,61.497802059819875,90.7328409663351,0.8551803703803121,71.91208333333334,7.330895652217186,41.621094116827344,614.1649921180037,137.22214251641532,176.55992073554785
LV,Latvia,2025-09-30,2025-10-20,LEAR_8w,LEAR 8w,21,504,58.12320367280949,103.04295957468149,0.9352456732327491,62.1475248015873,8.323871093711688,33.952382989609816,813.5824737106497,120.57130908842252,179.43569499364216
LV,Latvia,2025-09-30,2025-10-20,LEAR_12w,LEAR 12w,21,504,58.15242462869592,100.54829069194984,0.9357158601948159,62.1475248015873,-3.8208238814879514,34.28720335936604,814.7153796165102,122.52111403870045,186.58214454828106
LV,Latvia,2025-09-30,2025-10-20,LEAR_ensemble,Short-window ensemble,21,504,56.21287918425957,99.29254286207498,0.9045071282199133,62.1475248015873,2.2515236061118675,32.30335157085771,814.1489266635799,122.62603328345894,173.99649224495428
LT,Lithuania,2025-09-30,2025-10-20,LEAR_8w,LEAR 8w,21,504,54.72804212805851,94.34816908830308,0.8806149931599643,62.1475248015873,11.047853476180645,33.13496329399902,808.7492777459508,116.21529039926314,154.92285102036342
LT,Lithuania,2025-09-30,2025-10-20,LEAR_12w,LEAR 12w,21,504,52.52701904394283,92.13761963825175,0.8451988910522346,62.1475248015873,18.392799825368876,34.905173263832886,759.8281363296635,109.60842693386336,153.34536293078875
LT,Lithuania,2025-09-30,2025-10-20,LEAR_ensemble,Short-window ensemble,21,504,51.349187979152454,90.60130817038097,0.826246711242166,62.1475248015873,14.720326650774762,33.23072612875531,784.2887070378072,109.16328162095638,145.54355674797156
