variable,eta2_distinct_values,eta2_10_bins,eta2_20_bins,linear_r_squared
TR (repetition time),0.7553646168093336,0.5330985843363829,0.5610972561109321,0.3369498385723007
TE (echo time),0.6323758524102638,0.539250320476398,0.5568797550989806,0.47031669773742996
