Condition,Mean_ARI,SD_ARI,ARI_vs_raw
Raw,0.8931389868850663,0.0837954209903968,1.0
Residualized,0.918669413210264,0.0469463643221212,0.0564851306508513
ComBat,0.9029071576839972,0.0576228514466789,0.064988074148265
