t,surv,lo,hi,n_risk,d,cluster
0.0,1.0,1.0,1.0,55,0,0
3.6249144421629023,0.975609756097561,0.9283914631845562,1.0,41,1,0
4.331279945242985,0.9365853658536585,0.8490003326486308,1.0,25,1,0
0.0,1.0,1.0,1.0,46,0,1
1.675564681724846,0.975,0.9266163767375778,1.0,40,1,1
1.6865160848733745,0.95,0.8824581611147579,1.0,39,1,1
1.949349760438056,0.9249999999999999,0.8433741768801073,1.0,38,1,1
2.302532511978097,0.8993055555555555,0.8056917092364831,0.9929194018746278,36,1,1
2.409308692676249,0.872053872053872,0.7671396127346937,0.9769681313730503,33,1,1
2.428473648186174,0.8448021885521885,0.7303747523385238,0.9592296247658532,32,1,1
3.0006844626967832,0.8135132186058112,0.6879611113775476,0.9390653258340748,27,1,1
3.1074606433949348,0.7796168344972357,0.6428431529266253,0.9163905160678462,24,1,1
