k,silhouette,calinski_harabasz,davies_bouldin
2,0.1956531446268359,200.9298673012776,1.955481613891852
3,0.1578269365280894,179.17856760806094,1.9329118959381617
4,0.1463672644596224,149.8545701029136,1.9321155006790245
5,0.1424938549655639,134.4237648144631,1.890263650565241
6,0.1342333883748741,122.67531439441208,1.864758415233802
