feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
SER_map_Entropy_tissue_T1,-0.5524593572658794,0.9635154266601352,1.5159747839260147,2.2143088263154365,2.2143088263154365,6.800335900074088e-102,1.0901144518603614e-100
SER_map_sum_entropy_tissue_T1,-0.5521281130428112,0.962937720961569,1.51506583400438,2.211473013829073,2.211473013829073,1.2266028622878161e-110,2.703637142292728e-109
SER_map_std_dev_tissue_T1,0.5503409431630192,-0.9598208115878852,-1.5101617547509043,-2.1962721661741447,2.1962721661741447,9.271954068647044e-167,2.4524318511571437e-164
SER_map_difference_entropy_tissue_T1,-0.5462296821561962,0.9526505766176524,1.4988802587738488,2.161923995741078,2.161923995741078,6.258296173856105e-105,1.1823709557035286e-103
SER_map_Homogeneity2_tissue_T1,0.5403790375762868,-0.9424467738681686,-1.4828258114444552,-2.1144676185746287,2.1144676185746287,1.7689264843645097e-96,2.4625318690232254e-95
SER_map_Homogeneity1_tissue_T1,0.5390083025327882,-0.9400561466792058,-1.479064449211994,-2.1035805345076755,2.1035805345076755,1.1270524051129805e-98,1.7034592065850475e-97
SER_map_inverse_difference_is_homom_tissue_T1,0.5390083025327882,-0.9400561466792058,-1.479064449211994,-2.1035805345076755,2.1035805345076755,1.1270524051129805e-98,1.7034592065850475e-97
PE_map_std_dev_tissue_T1,0.5316837524361296,-0.9272817825225356,-1.458965534958665,-2.0468138830344245,2.0468138830344245,3.257471607927132e-167,1.7232024805934523e-164
SER_map_Entropy_tissue_PostCon,-0.522586998333864,0.9114166101894172,1.4340036085232812,1.9794070724138308,1.9794070724138308,4.0325787635320144e-88,4.538796097677522e-87
SER_map_sum_entropy_tissue_PostCon,-0.5219269729548369,0.9102654944986144,1.4321924674534514,1.9746416345548687,1.9746416345548687,5.232728973847586e-95,6.920284067913432e-94
SER_map_Energy_tissue_T1,0.5193891175479153,-0.9058393538186847,-1.4252284713666,-1.956469270425456,1.956469270425456,3.150455308179872e-125,1.1904220414479658e-123
SER_map_difference_entropy_tissue_PostCon,-0.517358863052941,0.9022984933006656,1.4196573563536066,1.9421012018137969,1.9421012018137969,8.910001791679734e-91,1.0712252154087683e-89
Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_2,0.5158871718542614,-0.899731793769634,-1.415618965623895,-1.9317783618276447,1.9317783618276447,2.8812985048420752e-139,3.8105172726536437e-137
SER_map_Max_Probability_tissue_T1,0.515549653857133,-0.8991431463103577,-1.4146928001674908,-1.9294217094363575,1.9294217094363575,1.948761087559928e-104,3.5548090183420746e-103
