variable,kind,n_groups,PC1,PC2,PC3,PC4,PC5
TR (repetition time),Technical,337,0.7553646168093336,0.5668926156225981,0.4209565994403797,0.49917946949487335,0.5010723924351231
TE (echo time),Technical,122,0.6323758524102638,0.355453148313011,0.19839918767854658,0.19026114409497222,0.28952822880667234
Acquisition matrix,Technical,8,0.5669522989103418,0.2859281493015027,0.047268666802669654,0.053297998405269845,0.1460169685434268
Manufacturer,Technical,2,0.4893143321563342,0.11891952954880165,0.010971752616342279,0.018562418004388848,0.06529405563334528
Field strength,Technical,3,0.09337315289847102,0.03585979500730267,0.0007148980846855955,0.0010689917468432214,0.05674748536325936
Slice thickness,Technical,13,0.07500405614559498,0.1295296471835761,0.0181703594482854,0.04486773628223579,0.020158561945019
Molecular subtype,Biological,4,0.005480775953798618,0.010060785589256601,0.03475140781681515,0.0035835755536391496,0.0025306305028198815
Recurrence,Biological,2,0.0016874195602306968,0.0046990437442774495,0.0217872767819332,0.0006266123351286386,3.5251718804589525e-05
